"ID","prompt","response","set","lab","rater1","rater2","CAAC_TOT","Openness"
1,"guanto","appenderlo come quadro",17,10,3,3,1.7555555555555555,5.5
1,"guanto","gonfiarlo a palloncino",17,10,3,2,1.7555555555555555,5.5
1,"guanto","indossarlo al contrario",17,10,2,1,1.7555555555555555,5.5
1,"guanto","indossarlo sul piede",17,10,2,2,1.7555555555555555,5.5
1,"guanto","metterlo in testa",17,10,2,2,1.7555555555555555,5.5
1,"guanto","riempirlo di riso",17,10,2,2,1.7555555555555555,5.5
1,"lampadina","colorarla",17,10,2,2,1.7555555555555555,5.5
1,"lampadina","romperla",17,10,2,2,1.7555555555555555,5.5
1,"lampadina","usarla come soprammobile",17,10,2,2,1.7555555555555555,5.5
1,"libro","usarlo come fermacarte",17,10,2,2,1.7555555555555555,5.5
1,"libro","usarlo come piedistallo",17,10,2,2,1.7555555555555555,5.5
1,"libro","vuotarlo e usarlo come portagioie",17,10,2,2,1.7555555555555555,5.5
1,"martello","appenderlo come quadro",17,10,4,4,1.7555555555555555,5.5
1,"martello","aprirci le bottiglie",17,10,2,3,1.7555555555555555,5.5
1,"martello","romperci le noci",17,10,2,2,1.7555555555555555,5.5
1,"mattone","colorarlo",17,10,2,2,1.7555555555555555,5.5
1,"mattone","lanciarlo",17,10,2,2,1.7555555555555555,5.5
1,"mattone","mettere dentro gli spazi le penne (portapenne)",17,10,2,2,1.7555555555555555,5.5
1,"mattone","romperci un vetro",17,10,2,2,1.7555555555555555,5.5
1,"mattone","usarlo come formina per i castelli di sabbia",17,10,3,3,1.7555555555555555,5.5
1,"mattone","usarlo come piedistallo",17,10,2,2,1.7555555555555555,5.5
1,"cappello","appenderlo al muro",17,10,2,2,1.7555555555555555,5.5
1,"cappello","riempirlo di mele e usarlo come cestino",17,10,2,2,1.7555555555555555,5.5
1,"cappello","usarlo come borsetta aggiungendo una catena",17,10,4,3,1.7555555555555555,5.5
1,"cappello","usarlo come soprammobile",17,10,2,2,1.7555555555555555,5.5
1,"cestino","altalena per bambini",17,10,2,2,1.7555555555555555,5.5
1,"cestino","culla",17,10,2,2,1.7555555555555555,5.5
1,"cestino","metterlo a cappello",17,10,2,2,1.7555555555555555,5.5
1,"coltello","togliere le graffette che uniscono i fogli",17,10,2,3,1.7555555555555555,5.5
1,"coltello","usarlo come righello",17,10,3,3,1.7555555555555555,5.5
1,"coltello","usarlo per incidere scritte su una tavola di legno",17,10,2,2,1.7555555555555555,5.5
1,"cucchiaio","fermaglio per capelli",17,10,2,2,1.7555555555555555,5.5
1,"cucchiaio","specchio",17,10,2,2,1.7555555555555555,5.5
1,"graffetta","aprirla e cambiare forma",17,10,2,2,1.7555555555555555,5.5
1,"graffetta","ciondolo per bracciale o collana",17,10,2,2,1.7555555555555555,5.5
1,"accendino","fai luce accendendo la fiamma",17,10,1,1,1.7555555555555555,5.5
1,"accendino","strumento musicale",17,10,2,3,1.7555555555555555,5.5
1,"accendino","usarlo come martello per attaccare un chiodino",17,10,2,3,1.7555555555555555,5.5
1,"accendino","usarlo come righello",17,10,2,3,1.7555555555555555,5.5
1,"accetta","appenderla al muro",17,10,2,2,1.7555555555555555,5.5
1,"accetta","usarla al posto del cltello per tagliare la pizza",17,10,4,4,1.7555555555555555,5.5
1,"appendino","appenderci collane anziché pantaloni o giacche",17,10,2,2,1.7555555555555555,5.5
1,"appendino","appenderla al contrario",17,10,1,2,1.7555555555555555,5.5
1,"appendino","suonarla come se fosse uno strumento musicale",17,10,3,2,1.7555555555555555,5.5
1,"appendino","usarla come altalena per uccelli",17,10,4,4,1.7555555555555555,5.5
1,"aspirapolvere","aprirla e usarla come portaogetti e come cestino per la spazzatura",17,10,3,2,1.7555555555555555,5.5
1,"aspirapolvere","trasportarci un bambino come se fosse un passeggino",17,10,2,2,1.7555555555555555,5.5
1,"banana","usarla come centrotavola o come fermaporta",17,10,2,2,1.7555555555555555,5.5
1,"cappello","appenderlo come quadro",17,10,2,2,1.7555555555555555,5.5
1,"cappello","colorarlo",17,10,2,3,1.7555555555555555,5.5
1,"cappello","indossarlo",17,10,1,1,1.7555555555555555,5.5
1,"cappello","metterlo sul ginocchio",17,10,2,2,1.7555555555555555,5.5
1,"cappello","tenerlo in mano",17,10,2,2,1.7555555555555555,5.5
1,"cestino","metterci un bambino",17,10,2,2,1.7555555555555555,5.5
1,"cestino","usarlo come borsetta",17,10,3,2,1.7555555555555555,5.5
1,"cestino","usarlo come cappello",17,10,2,2,1.7555555555555555,5.5
1,"coltello","attaccarci un chiodo (usarlo come martello)",17,10,3,3,1.7555555555555555,5.5
1,"coltello","fermaporta",17,10,2,2,1.7555555555555555,5.5
1,"coltello","usare la punta per bucare un foglio",17,10,2,2,1.7555555555555555,5.5
1,"coltello","usarlo come spatola per distribuire il catrame",17,10,3,2,1.7555555555555555,5.5
1,"cucchiaio","appenderlo come ciondolo",17,10,3,2,1.7555555555555555,5.5
1,"cucchiaio","scavare le buche sulla sabbia",17,10,2,2,1.7555555555555555,5.5
1,"cucchiaio","usarlo come specchio",17,10,2,2,1.7555555555555555,5.5
1,"graffetta","usarla come gancio per appendere fogli",17,10,2,2,1.7555555555555555,5.5
1,"graffetta","usarla come orecchino",17,10,2,2,1.7555555555555555,5.5
2,"barattolo","armatura",17,10,3,3,1.5222222222222221,5
2,"barattolo","cappello",17,10,2,2,1.5222222222222221,5
2,"barattolo","nascondiglio",17,10,2,3,1.5222222222222221,5
2,"barattolo","opera d'arte",17,10,2,2,1.5222222222222221,5
2,"barattolo","piatto (la parte superiore del cestino)",17,10,3,3,1.5222222222222221,5
2,"barattolo","scatola per un regalo",17,10,3,2,1.5222222222222221,5
2,"bicicletta","struttura interna di una gonna (le ruote)",17,10,4,4,1.5222222222222221,5
2,"borsa","la fibra potrebbe essere il lucchetto di una bicicletta",17,10,4,3,1.5222222222222221,5
2,"borsa","sacca da sedersi",17,10,2,3,1.5222222222222221,5
2,"borsa","tessuto per un capo da indossare",17,10,2,2,1.5222222222222221,5
2,"botte","copricapo",17,10,3,3,1.5222222222222221,5
2,"botte","oggetto d'arredo",17,10,2,2,1.5222222222222221,5
2,"botte","sedia",17,10,2,2,1.5222222222222221,5
2,"botte","tavolo da bar",17,10,2,2,1.5222222222222221,5
2,"bottiglietta","bracciale",17,10,3,3,1.5222222222222221,5
2,"bottiglietta","decorazione d'arredo",17,10,2,2,1.5222222222222221,5
2,"bottiglietta","gioco per cani",17,10,2,2,1.5222222222222221,5
2,"bottiglietta","il tappo potrebbe diventare un anello",17,10,2,2,1.5222222222222221,5
2,"bottiglietta","posacenere (la parte inferiore)",17,10,2,2,1.5222222222222221,5
2,"cappello","ciotola per cio",17,10,2,2,1.5222222222222221,5
2,"cappello","gioco",17,10,2,2,1.5222222222222221,5
2,"cappello","oggetto artistico d'arredo",17,10,2,2,1.5222222222222221,5
2,"cappello","scarpa",17,10,3,3,1.5222222222222221,5
2,"cestino","copricapo",17,10,2,2,1.5222222222222221,5
2,"cestino","creazione di gioielli intrecciati",17,10,4,3,1.5222222222222221,5
2,"cestino","decorazioni",17,10,2,2,1.5222222222222221,5
2,"cestino","hula-hop",17,10,4,4,1.5222222222222221,5
2,"cestino","lettino",17,10,2,2,1.5222222222222221,5
2,"cestino","tavolo",17,10,2,3,1.5222222222222221,5
2,"coltello","appendi abiti",17,10,2,2,1.5222222222222221,5
2,"cucchiaio","apribuste",17,10,2,3,1.5222222222222221,5
2,"cucchiaio","orecchini",17,10,2,2,1.5222222222222221,5
2,"graffetta","anello",17,10,2,2,1.5222222222222221,5
2,"graffetta","apriconchiglia",17,10,3,3,1.5222222222222221,5
2,"graffetta","arma letale",17,10,3,3,1.5222222222222221,5
2,"graffetta","binocolo",17,10,3,3,1.5222222222222221,5
2,"graffetta","bracciale",17,10,2,2,1.5222222222222221,5
2,"graffetta","collana",17,10,2,2,1.5222222222222221,5
2,"graffetta","fermaposto",17,10,2,3,1.5222222222222221,5
2,"accendino","oggetto per l'incisione dei nomi",17,10,2,3,1.5222222222222221,5
2,"accetta","appendino",17,10,2,2,1.5222222222222221,5
2,"accetta","apribuste",17,10,3,3,1.5222222222222221,5
2,"accetta","la parte inferiore potrebbe diventare un bastone da lanciare ai cani",17,10,3,2,1.5222222222222221,5
2,"accetta","oggetto per portare gli alberi",17,10,3,3,1.5222222222222221,5
2,"accetta","parte superiore per afferrare i salumi",17,10,3,3,1.5222222222222221,5
2,"appendino","boomerang",17,10,2,2,1.5222222222222221,5
2,"appendino","curvilinee",17,10,3,3,1.5222222222222221,5
2,"appendino","mattarello (la parte più bassa)",17,10,3,3,1.5222222222222221,5
2,"appendino","maxi orecchini",17,10,3,3,1.5222222222222221,5
2,"appendino","stecca per geometri",17,10,2,3,1.5222222222222221,5
