"ID","prompt","response","set","lab","response_cleaned","rater1","rater2","Total_CAQ","PI_originalityMean","JS_originalityMean","rater3","Total_KDOCS"
1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,147
2,"brick","afscheiding in boekenkast",7,3,"afscheiding boekenkast",4,2,8,NA,NA,2,162
2,"brick","afscheiding in boekenkast",7,3,"afscheiding boekenkast",4,2,8,NA,NA,2,162
2,"brick","afscheiding in boekenkast",7,3,"afscheiding boekenkast",4,2,8,NA,NA,2,162
2,"brick","afscheiding in boekenkast",7,3,"afscheiding boekenkast",4,2,8,NA,NA,2,162
2,"brick","voetstuk",7,3,"voetstuk",2,2,8,NA,NA,2,162
2,"brick","voetstuk",7,3,"voetstuk",2,2,8,NA,NA,2,162
2,"brick","voetstuk",7,3,"voetstuk",2,2,8,NA,NA,2,162
2,"brick","voetstuk",7,3,"voetstuk",2,2,8,NA,NA,2,162
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
3,"brick","een obstakel voor knikkerbaan of iets anders",7,3,"obstakel knikkerbaan anders",3,3,2,NA,NA,3,159
